s SATISFIABLE
v -ls_0_0_0
v -ls_0_0_1
v -ls_0_0_2
v  ls_0_0_3
v  ls_0_1_0
v -ls_0_1_1
v -ls_0_1_2
v -ls_0_1_3
v -ls_0_2_0
v -ls_0_2_1
v  ls_0_2_2
v -ls_0_2_3
v -ls_0_3_0
v  ls_0_3_1
v -ls_0_3_2
v -ls_0_3_3
v  ls_1_0_0
v -ls_1_0_1
v -ls_1_0_2
v -ls_1_0_3
v -ls_1_1_0
v -ls_1_1_1
v -ls_1_1_2
v  ls_1_1_3
v -ls_1_2_0
v  ls_1_2_1
v -ls_1_2_2
v -ls_1_2_3
v -ls_1_3_0
v -ls_1_3_1
v  ls_1_3_2
v -ls_1_3_3
v -ls_2_0_0
v -ls_2_0_1
v  ls_2_0_2
v -ls_2_0_3
v -ls_2_1_0
v  ls_2_1_1
v -ls_2_1_2
v -ls_2_1_3
v -ls_2_2_0
v -ls_2_2_1
v -ls_2_2_2
v  ls_2_2_3
v  ls_2_3_0
v -ls_2_3_1
v -ls_2_3_2
v -ls_2_3_3
v -ls_3_0_0
v  ls_3_0_1
v -ls_3_0_2
v -ls_3_0_3
v -ls_3_1_0
v -ls_3_1_1
v  ls_3_1_2
v -ls_3_1_3
v  ls_3_2_0
v -ls_3_2_1
v -ls_3_2_2
v -ls_3_2_3
v -ls_3_3_0
v -ls_3_3_1
v -ls_3_3_2
v  ls_3_3_3
